id,Userid,tag1,tag2,tag3,tag4,tag5,Most_popular_post
33,18308780,,,,,,"April 7, 2008."
34,7109393195,,,,,,"Now that I got the shoes secured, which @adidashoops pair should I wear tonight ????"
35,1469384191,,,,,,no post within 30 days
36,41967695,tbt,,,,,"Middle, High, and College C.Lee
#tbt"
37,9040829489,puremagic,playoffsbaby,gameday,,,Man What a Feeling ............ ⚫️🔵
38,175434065,dame5,damegoose,kicksoncourt,nbakicks,ripcity,On to the next...
39,1437284135,,,,,,no post within 30 days
40,403638583,nbaplayoffs,clippers,goclippers,laourway,atuttomotore,"What an extraordinary comeback, what an amazing night 👊🏻🏀 #Clippers #NBAPlayoffs"
41,259244842,gameday,madebygoogle,ad,wethenorth,lockedin,"Disappointed in the fact I missed out on the opportunity to meet this man, even more disappointed in the ones in our communities that continue to hold us back from being great...could feel his energy and see how big his heart was from afar...he was a big part of the culture and the positive movement for us, it’s on us to honor him the right way and keep his name alive forever... RIP Nip 🏁

ኤርምያስ  ኣስገዶም"
42,30375345,spurs,humbleandhungry,dc2,fatherandson,nbaplayoffs,Goin to work with daddy #spurs #humbleandhungry #dc2 #fatherandson
43,205786183,,,,,,BIG MOOD.
44,1561440728,,,,,,Wishing my bro @bosnianbeast27 a speedy and successful recovery. I’m praying for you bro.
45,328483383,,,,,,no post within 30 days
46,13419018,gobeyond,plantbasedlife,,,,Great night yesterday with friends at @pskitchennyc! #GoBeyond #PlantBasedLife
47,11032693,,,,,,Lost a great! A legend and even a greater man! Prayers to your family. This one hurts!! Rest easy Nip!
48,26010027,theresurgence,,,,,“ War zone wit my hittas “...
49,1694451619,teamcarroll,everyday,srswagdaddy,blessedbeyondmeasure,grinddaily,Starting the PLAYOFFS with a WIN on the court and off the court with the FASHION..I DO THIS EVERYDAY...💯💯💯#SrSwagDaddy #blessedbeyondmeasure #BrooklynGrit #EVERYDAY #TeamCarroll
50,2101053617,bravesareback,,,,,🙏🏾🙏🏾🙏🏾
51,1026402009,,,,,,no post within 30 days
52,19547914,shesaidyes,,,,,Year 6 in the books.. hope yal enjoyed watching as much as I did playing this year.. 🤙🏿
53,6107401,,,,,,no post within 30 days
54,231703216,spursnation,playoffs,suprsnation,hardworkpaysoff,onegoal,It's a big honor to wear this shirt! 👊🙌 #SpursNation 🇱🇹Ū!
55,13745183,icc2019,,,,,The beginning....The End... Thank you for some great years Oracle! Let’s close it out the right way for The Town
56,186303367,,,,,,no post within 30 days
57,1569066492,,,,,,no post within 30 days
58,2162452000,ripcity,dictatorerdogan,nbaplayoffs,blazersnation,nationalpetday,"‪Take that @rterdogan ‪I told you.‬
‪“Only thing I terrorize is the basketball rim.”‬
‪Thanks for the support #BlazersNation 🙏‬
#DictatorErdogan"
59,14625094,madukes,w,,,,"Damn,That’s crazy, but it’s true"
60,1512210705,thisisyourtime,ad,,,,Happy National Sibling Day to the best brothers 💯
61,596326439,gobucks,nba,bucks,,,🇹🇷x🇹🇷 👀 @furkankorkmaz
62,1742953256,fournierforreal,clinched,94,ap,puremagic,Proud of us man!!! 📸 @mozg25
63,46714935,20onpump2,unleaded,washthewindows,bigshot,50winseason,My guy called it LONG before anyone ever knew. Amazing series and an unbelievable night. Glad I could witness the story being written!
64,1551909641,,,,,,WoUlD yOu RaThEr Be A bUsInEsS MaN oR a MaN tHaTs BoUt HiS bUsInEsS
65,1666524396,happynationalsiblingsday,thebrotherhood,wassupderboayyyy,bigmood,,Congrats to these young boys! @camreddish @rjbarrett @zionlw10 Had a great year and now moving on to play w the  BIG BOYS @nba #TheBrotherhood is strong 💪🏽💪🏽💪🏽 @dukembb
66,912639211,,,,,,"6️⃣0️⃣ Wins ‼️ Amazing effort from the whole group. We have something special here! One game left before the end of the regular season and then we need support, energy and a loud arena for the playoffs from the best fans in the world. Lets go Milwaukee Bucks Fans💪🏽"
67,25766171,lovethisgame,iputthatonnip,,,,😈jump hook him !!! #lovethisgame
68,1293075516,thedragon,,,,,Tonight was incredible! Thank you to my country for all the love and support 🇸🇮 Will never forget it 💚 @kzs_si #TheDragon 🔥🐲
69,17434027,itsabouttobecrazy,fbf,game4,game3,indybound,That's how we do it! On to the next! #ItsAboutToBeCrazy
70,346543157,gorguidiengfoundation,gdfxmatter,powerofthepack,essentianation,overachievingh2o,"thank you, Dirk! #legend"
71,253586353,,,,,,
72,16077306,finalfour,teamvasquez,antwanelfutbolista,mimejorversion,nba,"Siempre soñé jugar con los más grandes, con aquellos que no solo son los mejores en la cancha, sino también grandes personas.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ManuGinobili es uno de ellos. Lo considero mi ídolo y uno de los héroes del baloncesto, especialmente para nosotros los latinos. Él, con su talento, cambió el baloncesto estadounidense marcando la pauta al baloncesto latino.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Todo lo que se ha propuesto lo ha alcanzado y es para mi uno de los mejores jugadores internacionales de la @nba ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Haber podido jugar contra él en la #NBA y en la Selección Nacional es un sueño. Siempre recordaré su profesionalismo y disciplina y los momentos compartidos antes de cada juego.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#GraciasManu por representarnos a los latinos y demostrarnos que todo lo que nos propongamos lo podamos alcanzar. Simplemente ¡GRACIAS!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Y ustedes ¿que le dirían a Manu un día como hoy? Los leo 
@manuginobili ⠀⠀⠀⠀⠀⠀⠀⠀⠀
📸 @jriosphoto •
⠀⠀⠀⠀⠀⠀⠀⠀⠀
I always dreamed to play with the greatest basketball players, not only with those that are best on the court, but those that are also great leaders

#ManuGinobili is one of them. I consider him my idol and one of the basketball heroes, especially for us latins. His talents changed basketball in the US and opened the doors for Latinos in basketball.

He achieved the goals he had set forth and he is one of the best international basketball players in the history of the #nba

It was an honor to have the opportunity to play against him in the #nba and national team. I will always remember his professionalism, discipline and the moments we shared after each game.

#GraciasManu for representing the Latino community and demonstrating that we can achieve our goals. THANK YOU"
73,26771129,sacramentoproud,gameday,purpletalk,sactown,heisrisen,KINGS fans 👑 I know it hasn’t been long but thank you for making @golden1center feel like home #SacramentoProud #PurpleTalk
74,183588770,ianmahinmicamp,princesscamille,7yearsyoung,,,"I’m still waiting on some type of explanation to this nonsense! We lost one of the realest! I’m proud that you picked @frenchdealofficial to dress you for your first Grammy nomination few months ago.
Your spirit will forever be with us!
RIP Hussle."
75,15932476,neverwouldhavemadeit,gonnaloveme,,,,Playoff time is an exciting time...and its almost time 🔋🚀
76,2136193276,riphussleman,thatslowgrind,,,,"“If it wasn’t for the MARATHON, I wouldn’t of made it through” @nipseyhussle 
Damn! Damn! Damn! When i got the news yesterday before the game it reminded me when I got the news about my sister. It hit my heart straight on!!! I just spoke to you a few days ago cuz like this can’t be real. It seemed like our careers took off at the same time, I listened to your music EVERYDAY since ‘08 and we built our friendship up ever since then. You been REAL since day 1 and always showed me genuine love! You touched more lives than you would ever imagine and got people through real life situations by just being who you are... This is one of the toughest post I’ve ever had to make, I didn’t want to believe anything that I was hearing and I still don’t. You really had the world running they MARATHON! I remember every time I came by the shop to show love to you and the homies y’all would walk me to my car and tell me “Be safe out here”. This hit home and I pray that God protects your family, your kids and the whole HOOD. You inspired a whole generation with your music and what you stood for, no matter who you were or how your life was you could relate to what Nip was speaking through his music whether you was in the streets, a athlete, doctor it didn’t matter because it was about grindin for whatever you believed in! The world felt this shit and it will never be the same but ima do everything I can to keep this MARATHON life going. All Money IN no money OUT! Thank you for changing the world @nipseyhussle “So if it’s meant, than it’s gon be People love it, cause they know that it’s the real me The cops hate it, so they hope my homies kill me But I don’t want the fame, I just want y’all to feel me It’s my time, so I’m going in We ball till we fall, F*** how the story ends We see these niggas hatin’ I know you hoes plotting I ain't worried bout it Cause I know God got me”

RIP @nipseyhussle"
77,297500919,repost,,,,,🇵🇷 @badbunnypr el Duro 🐰
78,2206418091,,,,,,THEY SAY EVERY MAN IS DEFINED BY HIS REACTION TO ANY GIVEN SITUATION.!! WHATEVER YOU DO GIVE YOUR HEART TO IT & STAY STRONG.!! 🙏🏾❤️🤞🏾 - @nipseyhussle
79,1745437167,,,,,,no post within 30 days
80,243522970,,,,,,no post within 30 days
81,12043476,schwaaaaag,staythecourse,,,,"BRO!!!! Where did you go?? We had some shit we was working on!!!! Please don’t leave. ON GOD imma make sure I finish what we started. 😢😢😢😢😢😢😢😢😢😢😢
NH THE GREAT I love you forever."
82,6936964476,,,,,,Last Dance. Second 📷 cred @zmane2
83,1660589399,,,,,,no post within 30 days
84,49910201,,,,,,I think we as a culture should all go buy a pair @damianlillard shoes tmw for that shit he just did haha 😆
85,277152432,nbagreen,earthday,wegiveyoulife,literally,nbagreens,Thanks for the motivation @stephensonlance 😈 🤣 #SorryNotSorry #Baptism
86,27091737,teaguetuesdays,,,,,Coach of the year once again... congrats
87,188241602,,,,,,no post within 30 days
88,281208646,wethenorth,patienceiskey,linstanation,threeinarow,chunkzzz,"Best gift after tonights game, seeing family!! Solid team win, gonna keep pressing forward one step at a time. When you’re not where you want to be, focus on one small step at a time! And NYC, 7 years after Linsanity you guys still brought out all the jerseys, tees and the ovation at the free throw line tonight. I’ll ALWAYS have love for this city! 我有最好的粉絲 紐約我會永遠愛你！ #Chunkzzz #patienceiskey #walkbyfaith #glorytoGod"
89,371120493,onelastdance,,,,,the legacy lasts forever. and so do the memories. thank you my brother!!! @dwyanewade #onelastdance
90,300659711,,,,,,"Check out my brother documentary🔥🔥🔥🔥🔥🔥🔥✊🏿✊🏿✊🏿✊🏿✊🏿@Drose @watchstadium
The documentary premieres on Thursday, April 11 at 7p ET/6pCT on both Stadium and on www.watchstadium.com"
91,27405902,autismawareness,repost,,,,"What an amazing night. Thankyou to everyone who was apart of it. The @utahjazz & @vivintgivesback for all you have done, @kickstradomis for the amazing shoes that will be auctioned off very soon & all the amazing Jazz fans! Most of all Thankyou @renaeingles, she has been the backbone for our family through all of this. Jacob, Milla & I are lucky to have you ❤️"
92,443806955,ballislife,luvumama,,,,Therapy!!
93,19865557,jortszn,teamprogressiondaily,tbt,,,#TBT ‼️‼️
94,198192357,,,,,,So much respect for these two and their influence on the game. Two absolute legends that I grew up idolizing. I’m honored to have even stepped on the same court as them.
95,519614292,nbase,dubnation,nbaplayoffs,fatherandson,jerebko,great last win at home for the regular season. Oracle was loud tonight we will see you back for playoffs. Back on the road tomorrow. #dubnation #NBAse🇸🇪
96,743177498,,,,,,no post within 30 days
97,11249386,,,,,,
98,22138451,longlivenip,nhnip,marathoncontinues,keepthatsameenergy,woke,#LONGLIVENIP @nipseyhussle
99,340624722,,,,,,no post within 30 days
100,4229905370,,,,,,"Kawhi pushing guys now ? Ight, y'all ain't ready for this version of Kawhi"
101,350545113,southdadetoyota,toyota,tundra,heydayadvertising,onelastdance,#OneLastDance Congrats on an incredible career my brother @dwyanewade was an honour playing alongside you for the last couple years of it #L3GACY
102,505904207,teamjbl,ad,,,,"With a couple games left in the regular season, I wanted to show love to the squad by hookin them up with the JBL Free X headphones. S/O to my @jblaudio fam for helping me take care of the team #TeamJBL"
103,643383844,,,,,,I know MJ is the G.O.A.T! KL style of play reminds me of MJ! Guess I’m trippen tho! Lol! 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️
104,12008960,unleashthemanimal,runasone,alhamdulillah,tmc,lovemebeforetheyalldo,"Sending nothing but ALLAH PRAYER & BLESSINGS, to my Muslim brother @bosnianbeast27 heard the news this morning & it broke my heart! But times like these really defined us as a person & inshallah you’ll come back strong & the BOSNIAN BEAST YOU ARE! #Ameen"
105,15544702,winginitmonday,winginit,dametime,linkinbio,twotimecoachoftheyear,"Meet Jett Serpe Bazemore. You will do great things son. And to his beautiful mother, @serpebazesam, you always find a way to make me proud. Love doing life with you. EST. 4-20-19 ❤️🥰🥰❤️🥰❤️❤️"
106,42042860,bigfacts,resteasynip,themarathoncontinues,kj2fly,blessed,🔐🔐🔐
107,194908318,,,,,,"BIG MOOD @channingfrye 😂😂😂
I’m calling an iconic Kobe like final game from C Frye."
108,3875475479,frenchsavage,euroleague,nba,reptiles,snake,"Number 1 
#nba #euroleague 🏀"
109,197686276,60wins,bextraordinary,,,,Special season in the books!! Now time for the playoffs!! #60wins
110,965894080,,,,,,
111,1363035707,ad,cobraconnect,,,,First ever regular season game at Oracle vs last ever regular season game
112,533601297,,,,,,no post within 30 days
113,44079464,13yearsandout,,,,,"At the end of the day, I’m just a guy from Minnesota who loves the game of basketball. I never wanted to be that guy. Thanks @playerstribune and @bmoharrisbank for helping me share my story and officially say goodbye to the game I loved so much. Link in bio."
114,478447649,,,,,,I’ve been trying to write this for a while. Thanks for reading (link in my bio).
115,1331661501,,,,,,no post within 30 days
116,143696806,madrid,court,blue,,,Black ‘n Rouge #madrid #court
117,10768203,,,,,,no post within 30 days
118,3526338795,,,,,,Congrats @manuginobili
119,9617327,,,,,,😞
120,23847670,,,,,,no post within 30 days
121,19410587,jamesgang,themarathoncontinues,longlivenip,thekidfromakron,striveforgreatness,Man Make Em Dance 💃🏽 Lance!!! Born Ready aka @stephensonlance 🤦🏾‍♂️😱🤯Sheesh!! Damn Hate it had to be my guy @unclejeffgreen(HaHaHaHa)!!
122,18233239,,,,,,Upside Now
123,306376801,mbahamoute,africanprinces,hardworkpaysoff,laclippers,lucmbahamoute,"10,000-hour rule... Practice, practice and practice some more...#HardWorkPaysOff #LAClippers #LucMbahAMoute #Lembo #ékié #oko’o"
124,24761723,drosedoc,repost,srilanka,pooh,restinpeace,This is heartbreaking man. Your message is so inspirational. Linking the hood back with Africa mentally and creating awareness about financial independence in our communities. We lost a leader. God had bigger plans for you. #RestInPeace 🙏🏿
125,1194680,iguazufalls,wherestiago,youarewelcome,,,"🇺🇲What happened last night was beyond overwhelming. Still trying to digest what went on in there! Thanks!
🇦🇷Lo de anoche fue totalmente abrumador. Espero poder digerirlo alguna vez. Impactante. Gracias!"
126,246100722,,,,,,no post within 30 days
127,602470996,dubai,polandfinnest,vacation,plane,atlantis,Lecąc do polski miałem przyjemność podróżować w towarzystwie naszego mistrza i legendy TOMKA GOLLOBA. I muszę przyznać ze było to dla mnie ogromne emocjonalne doświadczenie z lekcja pokory w jednym.Przegadaliśmy polowe podróży o naszych karierach i oczywiście o samym wypadku. Czułem się zdewastowany wiedząc ze w żaden sposób nie mogłem pomoc osobie która podziwiałem dojrzewając na łódzkich balutach. Często jest tak ze trzeba zebrać pieniądze.... wykonać telefon.... załatwić coś przez znajomość albo po prostu porozmawiać. Żadna z tych rzeczy nic nie daje Tomkowi:( on potrzebuje poprostu cudu!!! 🙏🏼 Czemu to pisze ... ponieważ wielu z nas włącznie ze mną nie zdawaliśmy sobie sprawy jakie ludzie maja durne problemy w życiu. Z czym musza się mierzyć każdego ranka jak otwierają oczy. Wydaje nam się ze bóle stawów.... mała pensja .... brak czegos w życiu to rzeczy które niszczą nasze samopoczucie każdego dnia i wielu z nas uważa ze świat się wali na głowę. A ja polecam wam wstać każdego dnia i DOCENIĆ to ze jesteście zdrowi i możecie chodzić i widzieć. DOCENCIE to co macie i kogo macie wokół siebie. A może dostrzeżecie w swojej sytuacji/życiu trochę pozytywów. Kiedyś zapytał mnie znajomy jak ci się udało dostać do NBA ... miałeś szczęście.? A ja odpowiedziałem krótko.... poprostu ZAPIERDALAŁEM. Kiedy inni narzekali... patrzyli innym na ręce albo wynajdowali kolejna wymówkę to ja byłem skoncentrowany na moim działaniach i celu. 💪🏼👌🏼 dlatego taka moja mała sugestia dla was ludziska zróbcie to samo.  To na tyle od Doktora Gortata. Codziennie modlę się o Tomka i trzymam za niego kciuki zróbcie proszę to samo. #polandFinnest #lot @flylot
128,257838811,playoffs,gospursgo,nbaplayoffs,letsmoveforabetterworld,,GRACIAS MANU @manuginobili
129,21005865,,,,,,True Legend! Praying for his family. Real one forreal. Rest In Peace NIp
130,256246990,,,,,,Just wanted to thank the entire Boston Celtics organization and the city of Boston. Extremely honored to receive this award. Red and I would have gotten along really well! ☘️
131,22194064,happynationalsiblingsday,,,,,@chrisbosh my brotha my homie my friend I just wanna congratulate you on goin to the rafters you deserve it bro.....folks don’t kno half of things we had to endure from injuries and life itself just to play this game...u taught me a lot about life and how to really be a professional and not let the small things get to me....from the yelling matches on the court lol to the dinners to the talks just bout life I appreciate everything my brotha.....congrats again my brotha
132,199888020,,,,,,Nothing in the World like it!
133,11167478,playoffpush,,,,,Game 1 was a great night! Except for the bloody 👃 😂😂
134,481422815,grindcity,gng,morethananathlete,salute,,"Blessed to be apart of such a historic moment for me & my franchise! Truly honored to be apart of NBA history, especially amongst these two great players. 🙏🏾
#GrindCity #GNG"
135,203727420,,,,,,FUCK U MEAN
136,1046176073,,,,,,no post within 30 days
137,584043334,,,,,,I appreciate the love @stephencurry30. I respect and love what you have done at @warriors. It has always been love and it will continue to be love and respect - from my family to yours.
138,23154764,onlyupfromhere,damnthatboiicold,yeaaaap,,,What a way to bring in 25 years of life ! Beyond blessed NMW! #OnlyUpFromHere #DamnThatBoiiCold #YeaaaaP
139,46909687,ruinthegame,wewill,,,,We believe ☘️☘️☘️☘️
140,6586603,,,,,,no post within 30 days
141,1206281444,tbt,,,,,#TBT 🇫🇷
142,276644943,,,,,,"25 has never looked so damn good!! In such a short amount of time life has thrown so many different obstacles at us and you continue to make me the happiest person in the world. No matter what the situation is, you’re always still your goofy/spunky/funny self. Having you by my side gives me the confidence to overcome anything because I know at the end of the day you’ll find a way to put a smile on my face and make me laugh like you do in all these pics/videos 😂 and because it’s your birthday, I get to share your unbelievable singing and dancing moments with the world so they can smile and laugh with me too haha! Happy birthday beautiful!! I love you so so so much! ♥️♥️♥️"
143,1552384556,fearthedeer,,,,,"Thanks for your inspirational career @swish41! You will always be my idol 🙌🏻
&
It was an honor to be your teammate @dwyanewade. We’ve had amazing moments, thanks for everything!"
144,27037882,,,,,,"Soooo... I got the answer wrong. I am now keeping my word and posting this picture selected by my friend @donnieraimon .I’m challenging my friends who are logical and smart thinkers, to have a crack at guessing the answer to the riddle below. When you think you know, Private message me the answer.  If you are not going to follow the instructions after you lose, don't bother playing.  Your turn! Read the riddle. If your answer is incorrect, I can choose any of your photos and you have to post it along with the riddle.If you answer correctly, I'll write your name in the comments (with a trophy emoji). Riddle: It's 7:00 AM. You are asleep and there is a sudden knock on the door. Behind the door are your parents who came to have breakfast. In your fridge are bread, milk (pasteurized), juice, and a jar of jam. To answer, what will you open first? * Answer directly through Private message only please. Answers in the comment section will be deleted. ** Note: It’s not what you think"
145,20796895,ride4nipsey,rollinparadise,,,,R.I.P NIP$€¥ HU$$LE  IT WAS ALWAYS GREAT TALKING TO YOU AND TELLING ME WHAT I NEEDED TO HEAR RATHER THAN WHAT I WANTED TO HEAR!! May GOD BLESS YOUR FAMILY !! #Ride4Nipsey #ROLLINPARADISE
146,44188058,,,,,,"Happy Passover!! 🇮🇱
חג פסח שמח וכשר!!"
147,232349124,6,,,,,Thank you God for BLESSING me more than I deserve!!🙏🏽 #6
148,189737007,fearthedeer,nbaplayoffs,spanishfamily,lafamilia,legends,"The only team to reach 6⃣0⃣ wins!
Congrats @Giannis_An34 on being the 2018-19 Euro Player of the Year!
#FearTheDeer

El único equipo en lograr 60 victorias!! Felicidades a Giannis por ser el mejor jugador europeo del año por la @gazzettadellosport! #FearTheDeer"
149,268098118,headbandgang,tbt,10,footwork,basketball,Last post before I 🔒 in. Should I bring it back? #headbandgang
150,466834153,bextraordinary,ad,nbaplayoffs,classof2030,,🤔y’all need to really check out YouTube u Milennials
151,1328547011,,,,,,@swish41  one of the best PF that ever play the game..So happy that have the chance to compete against him..CONGRATULATIONS on a great career DIRK 🙇🙇
152,15990166,giannaisabellaacy,repost,,,,Forever a Legend! You mean the world to the city of Dallas! Thank You!
153,189631686,hoopchella,unbm,tmc,blessed,goat,Wonder what Pop is thinking right here 🤔 #goat #gospursgo #themarathoncontinues🏁
154,597563498,,,,,,
155,178270116,,,,,,no post within 30 days
156,16442378,,,,,,"Expect the unexpected! This has definitely been the craziest hoop year of my life. Three different teams in three countries all within the last eight months! Across a total of 17,398 miles to be exact. But when the people need you for a bucket and the passport could use a few more stamps... you can’t turn down opportunities like this! The story gets crazier by the day, but I’m looking forward to being back out here in Spain for a little. Got a lot to prove! Let’s get it @cbbreogan ✊🏽💯🇪🇸"
157,192371147,,,,,,no post within 30 days
158,3237506616,togetherwearebetter,unitymakesamericagreat,sprinterthefilm,newposter,firstlook,People wonder why @channingfrye and I are so close! It’s because I could count on him in a situation like this 📷@shamelessbuzz
159,54963128,,,,,,no post within 30 days
160,342316123,,,,,,Happy to be apart of @wombosports they have a great team that work behind the scenes and that stream as well.
161,7552274,nbaplayoffs,game3,gospursgo,22,ripnipsey,This season has been full of ups and down (just like any other season) but let’s get ready for the real season. Who ready? #gospursgo #22
162,43983578,ontothenextone,,,,,🙏🏽
163,23489943,howhungryareyou,mafuzzychef,kawhi,avecclasse,veryhungry,Fuzzy x Normatec x spicy 🌶 x Klow #SQUAD
164,592796850,,,,,,no post within 30 days
165,476791482,biggerhome,,,,,HOME 🖤
166,174291537,washingtonwine,,,,,Had a blast working last weekend at the big spring release over in Walla Walla. Finally got a real job working the thief on the barrel samples to boot. #washingtonwine
167,324599988,ad,5minutesfromhome,lifemode,dubnation,letsgo,Just got to know you! Rest in Paradise 🙏🏽 @nipseyhussle
168,4110707274,,,,,,no post within 30 days
169,13948994,,,,,,no post within 30 days
170,1638586781,salute,,,,,I’m proud of you my brother! From Mitchell high school to coaching in the High School National Championship and winning it! Proud product of Memphis! #salute
171,594752713,littletikesballers,littletikes,sponsored,,,We in there baby 🤘🏾🔵⚪️🔵⚪️
172,211849705,,,,,,Dat Dude!!! Thank You 🙏🏾 41.21.1.
173,303567942,kfcbattle,streetball,vk,конкурс,наставник,2X Champion @jeriangrant
174,8715481,nextup,damarisavile,mbusacollection,ad,badboysforlife,#BadBoysForLife 👀
175,1998076484,travel,bridge,graciasmanu,family,spurs,Ready for Manu’s big night! 🔥🙌🏼#graciasmanu #family #spurs
176,3212652021,,,,,,no post within 30 days
177,11773708,,,,,,Basketball is an avenue that I used to better my life.  Don’t let the sport use you. Take as much as you can from it and spread it.
178,41940584,,,,,,Cant buy it
179,20979077,,,,,,no post within 30 days
180,260001551,,,,,,no post within 30 days
181,487672208,og,onelastdance,l3gacy,blessed,brotherhood,#OneLastDance @dwyanewade Love is Love my boy!!! I will cherish every moment on the court with you for the rest of my life!! I can reflect all day and that shit can get emotional so I won't. We will have plenty of time for that... Tonight I just want to say thank you my brotha!!! #L3GACY #og
182,23755775,ad,sponsored,huluhaslivesports,hulusellouts,staytuned,"I know I’m one of the last people to post about you but I guess I’m in denial because I didn’t want it to end. You’re my brother, my favorite player, my idol. I cant wait to really sit down with you and talk about how this year felt and the emotions that went into it all. Im not going to lie I was mad that I didn’t get a chance to have a jersey swap with you and everyone else did because I wanted to share that special moment with you but if I sit back and really think about it we’ve had so many special moments already I can’t even count. Man you’re the reason I knew I could play this game at the highest level and your the reason why I know I can achieve every goal I want in this league. Yes you’re a role model but you’re more than that to me your my friend, my vet, and my hero! Thank you for all you’ve done for this game and thank you for all you’ve done for me. The dance is over but everyone will always remember the legacy(and the dance moves lol 🕺🏽)you left behind you are truly a #LivingLegend #OneLastDance #Flash #Dwade #Family @dwyanewade"
183,2088240108,carolinafamily,carolinaszn,marchmadness,,,"Congratulations to my brother @dwyanewade on an unbelievable career! Not only did he do it all on the court but he also showed all of us athletes how to build an unbelievable brand off the court, in the business world. Appreciative of the time I got to compete against you as well as with you. Enjoy your next chapter in life my brother!"
184,191871035,lovelife,,,,,Year 5. Always remember there’s beauty in the struggle. We’ll be back soon!
