,Player_ID,Name,Screen_name,ID,Bio,Url,Posts,Followers,Friends
66,85,Cole Aldrich,colea45,134650548,"Husband, Son, Brother & Christ follower

TWolves",,3025,53625,173
67,86,Corey Brewer,TheCoreyBrewer,148821929,"Just a man from Portland, Tennessee!",https://t.co/70yWvDPe34,1929,78967,190
68,87,Cory Jefferson,CoryJay34,239212757,"When I'm right, I'm right. When I'm wrong, I coulda been right. So I'm still right because I coulda been wrong..",,25224,9108,421
69,88,Cory Joseph,Cory_Joe,279697145,University of Texas Alumni. Guard for the Indiana Pacers,https://t.co/m6JuG8KEnf,825,115801,287
70,89,Courtney Lee,CourtneyLee5,412688692,"Born and raised in Indianapolis,IN. A Proud Wku Alum, A Son of God! And lives by code of Hammurabi!!!",,2767,70461,329
71,90,D.J. Augustin,Augustinboy14,2287426416,Real twitter account of D.J. Augustin Chicago Bulls Nation,,0,5,19
72,92,Damian Lillard,Dame_Lillard,267425142,They say the truth shall come to the light...so everybody grab ya shades cuz ya boy that bright. (Instagram: DamianLillard),https://t.co/0KFauhLyvv,20193,1611454,2279
73,93,Damjan Rudez,Damjan_Rudez,2284736934,"Basketball player, basketball fan, representing UCAM Murcia and Croatia! https://t.co/YOJKFIHs2r https://t.co/0W5x4bKvQw",,381,6938,267
74,94,Danilo Gallinari,gallinari8888,70926844,NBA Forward ⛹🏻‍♂️ ✉ Marketing & PR ➡ info@danilogallinari.org,https://t.co/fl9xyYZLJ9,6681,715491,256
75,95,Danny Granger,dgranger33,20356113,"11yr NBA veteran, Commentator, Thinker....",https://t.co/nfVWdUvUo7,784,301646,109
76,96,Danny Green,DGreen_14,269552973,"RESPECT is everything, I give what I get",https://t.co/wI2JBy9bso,11843,505214,320
77,98,Dante Exum,daanteee,53401921,#11 Utah Jazz,,799,70426,211
78,99,Darius Miller,DmillerKY,37534613,Blessed +,,22396,181087,931
79,100,Darius Morris,dariusmorris4,35921824,Hebrews 11:1 Embrace your #Mov3ment Blessed,http://t.co/aaXOrbk2uM,1627,53139,779
80,101,Darrell Arthur,DarrellArthur00,2232325386,"Darrell Arthur's official Twitter account, Dallas, TX, S.O.C. H.S. grad &  back2back Texas champion, KU National Champ and current Denver Nugget",,484,5767,152
81,102,Darren Collison,Darren_Collison,223712642,Point Guard for the Indiana Pacers. UCLA alumni,https://t.co/KPM8IPvqwT,1747,105299,194
82,103,David Lee,Dlee042,40190028,,,1409,344896,144
83,106,David West,D_West30,205771054,"It is the knowledge that i am going to die that creates the focus that i bring to being alive
...N.D.T...",https://t.co/6ZDSeERzr9,5813,260906,793
84,107,DeAndre Jordan,DeAndre,47506568,"1/4 Twist Boy I love Judge Judy, Netflix, and Gluten-free Cookies",,9507,1158326,313
85,108,DeJuan Blair,DeJuan45,40354705,PROUD FATHER!! 🅰️🅰️🅾️‼️✊🏿,,31340,134503,879
86,109,DeMar DeRozan,DeMar_DeRozan,43658360,Born and raised in Compton.,https://t.co/HVeqXr6NUY,8167,639977,466
87,110,DeMarcus Cousins,boogiecousins,132752344,"Tough times don't last, tough ppl do. #LoyaltyIsLove #TheResurgence #0DOUBT Manager: @andrew_rogers_ Instagram: boogiecousins",https://t.co/58s4cV2npP,5947,1085516,813
88,111,DeMarre Carroll,DeMarreCarroll1,332627423,"Official Account For DeMarre Carroll
▪ @BrooklynNets ▪ The Carroll Family Foundation @CFFWeBelieve
▪ info@lmsmanagement.ca",https://t.co/8Nf0XrHqzj,5845,88582,377
89,112,Dennis Schroder,MrSchroder17,1040027285246697472,Cuenta no oficial de Dennis Schröder,,127,44,107
90,113,Deron Williams,DeronWilliams,331813832,"Believer, Husband, Father, Former Three-time @NBA All-Star, 2x Olympic Gold Medalist, Avid 🏌🏽 and 🎿 huge Pittsburg Steeler and MMA Fan",https://t.co/AUaiusaF8T,1710,743880,291
91,114,Derrick Favors,dfavors14,151728579,"Dream Big,Work Hard",,878,140497,226
92,115,Derrick Rose,drose,612792060,POOH - 4/11/19 👇🏾,https://t.co/RROSnFJCTi,83,2631702,34
93,116,Derrick Williams,DWXXIII,61604894,Instagram : DWXXIII,https://t.co/12LewXLvqP,514,158565,304
94,117,Devin Harris,Dev34Harris,1576253378,NBA Point Guard,,474,26413,337
95,118,Devyn Marble,DevMarble,202893625,Snapchat: dmarble4 / Instagram: d_marble & dae1hk,,2184,29527,135
96,119,Dewayne Dedmon,d_dedmon3,249001367,Former USC forward currently playing the game I love for the Atlanta Hawks. Instagram: d_dedmon3 | Marketing@waterhousehayes.com,,3854,15375,402
97,120,Dion Waiters,dionwaiters3,134653235,Father first!!! https://t.co/VgS8wcPip1,https://t.co/qdRgT3HX0o,20196,122989,1098
98,121,Dirk Nowitzki,swish41,205415788,Tall Baller from the G!,http://t.co/RwKuFKxU1E,1600,3438562,537
99,122,Donald Sloan,dsloan15,396839470,Official Page of former Texas A&M #15 Point Guard donald sloan Catch me when I'm up lol...... And i may tweet you back IG: donsloan15 IM UP,https://t.co/uQme7Oldt7,4618,8572,280
100,123,Donatas Motiejunas,DonatasMot,1048960958,Basketball player Snapchat : dmot Instagram: donatas_motiejunas,,1536,106116,270
101,124,Dorell Wright,DWRIGHTWAY1,183755853,DJ Uno!!!,https://t.co/XZdGb00hHi,16865,129476,711
102,125,Doug McDermott,dougmcdermott,85617701,,,4292,152862,394
103,126,Draymond Green,Money23Green,116485600,Forward for the Golden State Warriors by way of Michigan State and Saginaw Michigan... Owner of Performance Inspired Nutrition,,19185,1293471,980
104,127,Drew Gooden,DrewGooden,43756302,,https://t.co/Ucehc0rtbl,1624,62418,431
105,130,Dwight Howard,DwightHoward,16812787,#12isBACK,https://t.co/sxJtgQkmei,23488,6708081,7482
106,131,Dwight Powell,DwightPowell33,2445047678,Forward For The Dallas Mavericks,,84,10011,226
107,132,Dwyane Wade,DwyaneWade,33995409,"From Robbins, IL..I'm a father First and everything else after that...",https://t.co/9MS9CVB2UZ,12014,7990002,671
108,133,Earl Barron,earldee,28053819,"Memphis Tiger Alum, 2006 NBA Champion.....Failure will never overtake me if my determination to succeed is strong enough.",,5378,4788,159
109,135,Ed Davis,eddavisXVII,54378594,,,2208,65177,559
110,136,Ekpe Udoh,EkpeUdoh,113483838,,,12526,106653,391
111,137,Elfrid Payton,elfrid,253527338,#UL #EP2 #EP2X2 #duece #GB,,10262,63780,1117
112,138,Elijah Millsap,Elijah_Millsap,1523459624,,,804,8985,171
113,139,Elliot Williams,ewill901,140208058,,http://t.co/bOXIUqMozi,3864,20620,489
114,141,Enes Kanter,Enes_Kanter,302111485,{Hizmetin Hizmetkârı} #Live4Others https://t.co/2ff4gW2gP4 & https://t.co/OY1rPsSUe7 🕊♥️⚖️,https://t.co/0qUS2vvnCi,6992,425082,11
115,142,Eric Bledsoe,EBled2,98576365,Dnt be scared to imagine,https://t.co/DwZhUgNJT7,4557,235664,598
116,143,Eric Gordon,TheofficialEG10,299242570,Shooting Guard for the Houston Rockets and INDIANA HOOSIER! https://t.co/6y8olQFXil,https://t.co/ZwPVJDYlHb,2334,217392,1833
117,144,Erick Green,ErickGreen,131009726,VT alumni.. #HAT #NGE,https://t.co/gZNGuZKBPr,17417,23857,1420
118,145,Ersan Ilyasova,ersan_8,554800704,Basketball player,,0,41,7
119,146,E'Twaun Moore,ETwaun55,270072188,- The Official Account of New Orleans Pelicans PG #55 E'Twaun Moore -,https://t.co/0IWKfUalXr,804,33802,1288
120,147,Evan Fournier,EvanFourmizz,562362256,"Guard for the @OrlandoMagic



Instagram-evanfournier10

94",https://t.co/skzaRs4q5H,7345,174129,119
121,148,Evan Turner,thekidet,91133460,the world can rush but i'll wait to be perfect,,13575,199144,2369
122,149,Festus Ezeli,festus,341567459,IFEANYI means NOTHING is impossible WITH GOD. maybe that'll help you understand my life's story | Marketing opportunities contact: Melissa@LaCorteENT.com,https://t.co/dBhhdFresi,6211,129796,679
123,151,Furkan Aldemir,furkanaldemir19,2903070431,Official Twitter account of Furkan Aldemir / Professional Basketball Player,,447,6391,131
124,153,Garrett Temple,GTemp17,41861751,1.GOD https://t.co/1ntV5xKQxn https://t.co/5NqiJwX4Jk. LA Clippers guard #17. APhiA: Truly Blessed!!!!!! IG: gtemp17,https://t.co/g0nENVwdId,16631,24204,582
125,154,Gary Harris,thats_G_,126458229,#EAC,,18774,60152,677
126,156,George Hill,George_Hill3,87080278,,,13362,245401,223
127,157,Gerald Green,GgreenJr25,1090951986,"Phoenix forward, studied at Leaders Academy High School for Business and Academic Success. Not assosiated with Gerald Green",http://t.co/HLheG4ldjV,125,5545,94
128,158,Gerald Henderson,g_hender09,39271923,Dad. Duke grad. @NBA vet. @foxsportssouth @hornets analyst. Tweeter,https://t.co/EDu98OAG6J,6869,45220,306
129,160,Giannis Antetokounmpo,Giannis_An34,2279776304,"""It's beauty in the struggle, ugliness in the success."" 🇳🇬🇬🇷 Family-Loyalty-Legacy",https://t.co/emaHhOoj67,1104,639977,40
130,162,Glen Davis,_glendavis_,904920369294868480,TMHS Varsity Golf '19/ Joshua 1:9/ Spread positivity/ TTU ‘23,,1349,181,201
131,165,Goran Dragic,Goran_Dragic,356859571,"Father,brother,husband and professional basketball player for @MiamiHeat #TheDragon 🐲",https://t.co/CRFyOZE0m4,2788,344296,435
132,166,Gordon Hayward,gordonhayward,46704247,,https://t.co/9kozzhRExv,2633,641192,138
133,167,Gorgui Dieng,GorguiDieng,1358510274,This is the Official Twitter account for Gorgui Dieng.,https://t.co/CKPcMjvRSE,1153,57691,223
134,169,Greg Monroe,M10OSE,935368368,"NOLA native, Helen Cox Alum, Georgetown Hoya. #IJNIP Trust in God, Believe in yourself. IG: Moosemonroe15",https://t.co/oZNzVK7fYk,902,43113,494
135,171,Greg Stiemsma,gregstiemsma,23260598,Just a small town kid living my dream!,,2018,11774,259
136,172,Greivis Vasquez,greivisvasquez,133069590,Venezolano NBA Player Vocero #ODS Sistema Naciones Unidas para Venezuela Global Shaper #TeamVasquez,https://t.co/U1mKbTFiTU,23484,664705,1614
137,173,Harrison Barnes,hbarnes,555393138,✟ Acts 4:12 | 👰🏾💍 @BrittanyLBarnes | TAR HEEL. | @sacramentokings forward | https://t.co/wIkdU11pXc | #AO1,https://t.co/zdWxVsa1v6,4480,625469,789
138,174,Hassan Whiteside,youngwhiteside,149308566,North Carolina raised 7Footer .. Going trigger happy just to see my people happy ..Born as a poor kid with wealth dreams .. Keep it 100 snapchat youngwhiteside,,4094,190372,402
139,176,Henry Sims,H_Sims14,102270039,Be patient with me,,8329,6223,775
140,177,Henry Walker,304skywalkerjr,3065022464,#hard2kill #GGG,,895,5863,703
141,180,Ian Mahinmi,ianmahinmi,394125377,Father/Baller/Owner/Entrepreneur... Everything happens for a reason / On récolte ce que l'on sème,,2843,45963,238
142,181,Iman Shumpert,imanshumpert,257699456,"Rocket Ship. Husband.Father.Champion.Artist. #CENTERPIECEbyIman. stream/ download ""piece de la foutu pie""",https://t.co/25VVLXAUc9,15087,683450,538
143,182,Isaiah Canaan,SiP03,133338415,"Chasing A Dream N Won't Stop Till It's Accomplished!!
TeamKMY",,32580,44515,1142
144,183,Isaiah Thomas,isaiahthomas,72475439,"Proud Father! If all I'm remembered for is being a good basketball player, then I've done a bad job with the rest of my life. 2x @NBA All Star 🏁",https://t.co/9QVLDAAhDZ,2033,1614499,2445
145,184,Ish Smith,IshSmith,925030084276301830,#14 PG for The Detroit Pistons Psalms 115:1 #DetroitBasketball,https://t.co/7ncMVQV1jQ,28,1647,31
146,185,J.J. Barea,jjbareapr,73457606,https://t.co/8YZ63o5DQl,,2561,286734,300
147,186,Jabari Brown,Bari_BrownIDF,596857496,#DB55,https://t.co/ZGsNxcFUCl,3397,13818,499
148,187,Jabari Parker,JabariParker,306582939,You can't let praise or criticism get to you. It's a weakness to get caught up in either one. -John Wooden,,526,301252,372
149,188,Jack Cooley,JackCooligan45,480847192,"Occasionally I play basketball, but mainly I'm a father of two puppies. ND Baby! #45",,2869,6772,552
150,189,Jae Crowder,CJC9BOSS,125408809,I MADE MY DREAM A REALITY.. {99},,8217,148779,523
151,192,Jamal Crawford,Jcrossover,377723724,"I love basketball, but basketball doesn't define me.",https://t.co/1IUk0mTbCi,25304,1300214,2768
152,193,Jameer Nelson,jameernelson,41514775,God Is Good,https://t.co/3b0HCVUXgw,1800,114285,2277
153,194,James Ennis III,JamesDa_Truth,143140326,“Ennis The Menace” Hungry!! Proud Father!! God 1st before everything!! Grinding everyday!! #Teamnosleep #TeamDreamchaser #EnnisTheMenace,https://t.co/NBNz7GulIB,6493,29081,978
154,195,James Harden,JHarden13,50811932,NBA Player for the Houston Rockets.,https://t.co/4sRoFaGcFg,12988,6237339,246
155,196,James Johnson,IamJJ16,3033470114,"The Official Twitter of James Johnson
Miami Heat #16 #culture",,503,24716,96
156,200,JaMychal Green,Jmyke1,171774400,Former Bama player now a Memphis Grizzly #0...GUMP TOWN 334 #GOD1st #FAM2nd Proud Father Jada 9-17-13 !! #RIP Rod B I am My Brother's Keeper‼️ IG RoadtoRiches_0,,14237,15413,725
157,202,Jared Cunningham,J1Flight,189033619,Know Yourself,,831,20419,215
158,203,Jared Dudley,JaredDudley619,54438929,Just a guy from San Diego living a Dream! Where Brooklyn at?!!!! (Biggie Voice),,25091,209784,1750
159,204,Jared Sullinger,Jared_Sully0,119504238,140 Characters can't su❌ ❌e up... I a❌ who I a❌.. I do what I do! Don't ask... YES it is ❌e!,,26814,174776,1370
160,205,Jarnell Stokes,JarnellStokes,195985229,"Life and Basketball. Current Professional Athlete, Entrepreneur & Philanthropist.",https://t.co/jhCbbshGMw,12252,46331,993
161,206,Jarrett Jack,Jarrettjack03,58673299,"Instagram: @jarrettjack03
Snapchat: @jarrettjack03",,5789,105763,493
162,207,Jason Maxiell,JasonMaxiell,188879824,,,133,5387,21
163,209,Jason Smith,JasonSmith014,1110153360,Car enthusiast. Movie fanatic. Always trying to live life to the fullest!!! New Orleans Pelicans #14 IG JasonStix Twitch JasonStix,,1624,11594,298
164,210,Jason Terry,jasonterry31,30465594,Lady Drive Nation Co-President official IG: @jasonthejet31,https://t.co/POTSClQhIK,4055,970542,856
165,211,Jason Thompson,MyJasonThompson,202043887,"Actor 
App Store: Jason Thompson",https://t.co/o8Wwbz5ZAT,7555,121871,534
166,212,JaVale McGee,JaValeMcGee,24838521,#BeGreat #PRAYFORFLINT 👻:pierrepierre11 LAKERS #CENTER,https://t.co/KmvzbEdlwS,11960,270009,774
167,213,Jeff Adrien,Adrien4,26430244,"UConn Husky 4Life 
  ☀️Jehovah⭐️⚡️
🌚Man on A Mission⭐️☀️
                   🔶",https://t.co/aDyFOYsOXP,4236,18693,192
168,215,Jeff Green,unclejeffgreen,363365354,From the DMV...04'-07' Georgetown Hoya...GOTTA LOVE LIFE,,14632,166756,714
169,216,Jeff Teague,Teague0,270044966,,https://t.co/ksd9piX5fx,4329,85636,574
170,219,Jerami Grant,JeramiGrant,272562079,#familyovereverything Instagram: @jeramigrant,,8481,45067,205
171,221,Jeremy Evans,JeremyEvans40,499048869,"Official Twitter handle for Jeremy Evans #40, former Western Kentucky Hill Topper,Utah Jazz, Dallas Maverick, Khimki. Current Atlanta Hawk Instagram:evansart21",https://t.co/k2J9Jmp9X8,223,33266,276
172,222,Jeremy Lamb,jlamb,303465692,"I once had a awkward moment, only cuz I wanted to... My Instagram-- jeremylamb1",,3342,52017,264
173,223,Jeremy Lin,JLin7,170424259,to know Him is to want to know Him more,https://t.co/bJvNFzMXD8,1763,2525162,170
174,226,Jerryd Bayless,jerrydbayless,843948212,Stand for something or fall for anything,https://t.co/jHzCPkkmOk,659,13428,217
175,227,Jimmer Fredette,jimmerfredette,247149169,Instagram: @jimmerfredette_32,https://t.co/pKMIGnRAJb,3255,161452,446
176,228,Jimmy Butler,JimmyButler,255199842,"From Tomball, all the way to the Philadelphia 76ers... Former Marquette Golden Eagle #33.. What I don't have, I don't need. What I don't need, I don't have.",https://t.co/wyWcvyY173,5349,577013,361
177,229,JJ Hickson,Hickson21,754267106,Official Twitter account for #21 for the Portland Trail Blazers. (Instagram: jjhickson21),http://t.co/0c9knk4TsB,1575,13997,68
178,230,JJ Redick,RealJoshReddick,435976945,Husband. Houston Astros Outfielder. WWE fanatic. Go Dawgs. Life analyst. I tend to run my mouth. I am NOT JJ Redick IG: realjoshreddick,https://t.co/5dQ8BfpDzs,9414,154933,578
179,231,Joakim Noah,JoakimNoah,494422305,Stick stickity . For my foundation contact @noahsarcfdn,https://t.co/CMhy0MEv2D,1508,708025,471
180,232,Jodie Meeks,Jmeeks20,356408195,Shooting Guard for the Washington Wizards!,,2994,96189,125
181,234,Joe Ingles,Joeingles7,38026892,"Utah Jazz & Australian Basketball team!

Euroleague Champion!",,15670,147467,438
182,235,Joe Johnson,TheJoeJohnson7,243214305,7 Time NBA All-Star. #HoustonRockets. For appearances and media requests contact @EAGSports 310-301-4274,,426,186298,315
183,237,Joel Freeland,joelfreeland19,3064439620,British - Pro Basketball Player,,60,1191,110
184,238,Joey Dorsey,Joey6Dorsey,1848938888,Play. Player of @FcbBasket,,9,247,56
185,239,Joffrey Lauvergne,1JOLOLO,234811698,Basketball player for @FBBasketbol & Homegrown player from @PARTIZANBC & French national team member 🇫🇷 Instagram : @7JOLOLO,,2899,62295,133
186,240,John Henson,Johnhenson31,198932169,"Cleveland Cavaliers #31 —Tampa, FL",,12496,119626,903
187,241,John Jenkins,JohnnyCashVU23,140318601,Former Shooting Guard at @VandyMBB. Blessed for the opportunity to wake up and do what I love everyday.,https://t.co/9XpUOAKG6i,5725,18561,769
188,244,John Wall,JohnWall,132389474,Manager: Ty Williams- Tywillims203@gmail.com,https://t.co/2ul8PK5hXf,25553,1878040,2957
189,246,Jon Leuer,JonLeuer30,38783856,Detroit Piston | Badger4Life | Philippians 4:13,,1660,24767,251
